Original variable name,SEPI Indicator ID,Pillar,Indicator name,Description,Unit of measurement,Data source,Source file or URL,Data collection year,Reference period,Geographic level,Indicator type,Directionality
total_health_facilities,HLT_01,Health,Total health facilities,Total number of health facilities.,Count,Government of Kenya / WHO health facility registry,data/processed/adm1_health_indicators_ken_data.csv,2025,2025,Admin 1,Input,Higher = less deprived
count_hospitals,HLT_02,Health,Count of hospitals,Number of hospitals.,Count,Government of Kenya / WHO health facility registry,data/processed/adm1_health_indicators_ken_data.csv,2025,2025,Admin 1,Input,Higher = less deprived
count_mch_centres,HLT_03,Health,Count of maternal and child health centres,Number of maternal and child health centres.,Count,Government of Kenya / WHO health facility registry,data/processed/adm1_health_indicators_ken_data.csv,2025,2025,Admin 1,Input,Higher = less deprived
count_health_posts,HLT_04,Health,Count of health posts,Number of health posts.,Count,Government of Kenya / WHO health facility registry,data/processed/adm1_health_indicators_ken_data.csv,2025,2025,Admin 1,Input,Higher = less deprived
count_health_centres,HLT_05,Health,Count of health centres,Number of health centres.,Count,Government of Kenya / WHO health facility registry,data/processed/adm1_health_indicators_ken_data.csv,2025,2025,Admin 1,Input,Higher = less deprived
health_fac_per_10k_pop,HLT_06,Health,"Health facilities per 10,000 population","Health facilities per 10,000 population.","Per 10,000 people",Government of Kenya / WHO health facility registry,data/processed/adm1_health_indicators_ken_data.csv,2025,2025,Admin 1,Input,Higher = less deprived
mch_ctr_per_10k_pop,HLT_07,Health,"MCH centres per 10,000 population","MCH centres per 10,000 population.","Per 10,000 people",Government of Kenya / WHO health facility registry,data/processed/adm1_health_indicators_ken_data.csv,2025,2025,Admin 1,Input,Higher = less deprived
hp_hc_per_10k_pop,HLT_08,Health,"Health posts plus health centres per 10,000 population","Health posts plus health centres per 10,000 population.","Per 10,000 people",Government of Kenya / WHO health facility registry,data/processed/adm1_health_indicators_ken_data.csv,2025,2025,Admin 1,Input,Higher = less deprived
hospitals_per_100k_pop,HLT_09,Health,"Hospitals per 100,000 population","Hospitals per 100,000 population.","Per 100,000 people",Government of Kenya / WHO health facility registry,data/processed/adm1_health_indicators_ken_data.csv,2025,2025,Admin 1,Input,Higher = less deprived
school_access_pop,EDU_09,Education,Population with school access,Share of school-age population within 5km distance to a facility,Percent of population,Heidelberg Institute for Geoinformation Technology,data/processed/adm1_accessibility.csv,2025,2025,Admin 1,Input,Higher = less deprived
healthcare_access_pop,HLT_10,Health,Population with healthcare access,Share of population with access to healthcare services within 1 hour distance,Percent of population,Heidelberg Institute for Geoinformation Technology,data/processed/adm1_accessibility.csv,2025,2025,Admin 1,Input,Higher = less deprived
nutrition,HLT_11,Health,Nutrition Deprivation,Share of population deprived in the nutrition dimension.,Percent,The global Multidimensional Poverty Index (MPI) 2025,data/processed/adm1_mpi.csv,2022,2022,Admin 1,Output,Higher = more deprived
child_mortality,HLT_12,Health,Child Mortality Deprivation,Share of population deprived in the child mortality dimension.,Percent,The global Multidimensional Poverty Index (MPI) 2025,data/processed/adm1_mpi.csv,2022,2022,Admin 1,Output,Higher = more deprived
years_of_schooling,EDU_10,Education,Years of Schooling Deprivation,Share of population deprived in years of schooling.,Percent,The global Multidimensional Poverty Index (MPI) 2025,data/processed/adm1_mpi.csv,2022,2022,Admin 1,Output,Higher = more deprived
school_attendance,EDU_11,Education,School Attendance Deprivation,Share of population deprived in school attendance.,Percent,The global Multidimensional Poverty Index (MPI) 2025,data/processed/adm1_mpi.csv,2022,2022,Admin 1,Output,Higher = more deprived
cooking_fuel,INC_07,Income & Livelihoods,Cooking Fuel Deprivation,Share of population deprived in access to clean cooking fuel.,Percent,The global Multidimensional Poverty Index (MPI) 2025,data/processed/adm1_mpi.csv,2022,2022,Admin 1,Output,Higher = more deprived
sanitation,INC_08,Income & Livelihoods,Sanitation Deprivation,Share of population deprived in sanitation.,Percent,The global Multidimensional Poverty Index (MPI) 2025,data/processed/adm1_mpi.csv,2022,2022,Admin 1,Output,Higher = more deprived
drinking_water,INC_09,Income & Livelihoods,Drinking Water Deprivation,Share of population deprived in safe drinking water.,Percent,The global Multidimensional Poverty Index (MPI) 2025,data/processed/adm1_mpi.csv,2022,2022,Admin 1,Output,Higher = more deprived
electricity,INC_10,Income & Livelihoods,Electricity Deprivation,Share of population deprived in electricity access.,Percent,The global Multidimensional Poverty Index (MPI) 2025,data/processed/adm1_mpi.csv,2022,2022,Admin 1,Output,Higher = more deprived
housing,INC_11,Income & Livelihoods,Housing Deprivation,Share of population deprived in housing quality.,Percent,The global Multidimensional Poverty Index (MPI) 2025,data/processed/adm1_mpi.csv,2022,2022,Admin 1,Output,Higher = more deprived
assets,INC_12,Income & Livelihoods,Assets Deprivation,Share of population deprived in household assets.,Percent,The global Multidimensional Poverty Index (MPI) 2025,data/processed/adm1_mpi.csv,2022,2022,Admin 1,Output,Higher = more deprived
M_15_19,INC_13,Income & Livelihoods,Male Population Age 15-19,Male population aged 15 to 19 years.,People,Kenya Population and Housing Census 2019 (youth bulge derivation),data/processed/ken_youth_bulge_adm1_2019.csv,2019,2019,Admin 1,Input,Ambiguous
M_20_24,INC_14,Income & Livelihoods,Male Population Age 20-24,Male population aged 20 to 24 years.,People,Kenya Population and Housing Census 2019 (youth bulge derivation),data/processed/ken_youth_bulge_adm1_2019.csv,2019,2019,Admin 1,Input,Ambiguous
M_25_29,INC_15,Income & Livelihoods,Male Population Age 25-29,Male population aged 25 to 29 years.,People,Kenya Population and Housing Census 2019 (youth bulge derivation),data/processed/ken_youth_bulge_adm1_2019.csv,2019,2019,Admin 1,Input,Ambiguous
num_youth_bulge,INC_16,Income & Livelihoods,Number of the male population aged 15 to 29,Estimated number of males aged 15 to 29.,People,Kenya Population and Housing Census 2019 (youth bulge derivation),data/processed/ken_youth_bulge_adm1_2019.csv,2019,2019,Admin 1,Input,Ambiguous
2019_population,INC_17,Income & Livelihoods,Population (2019 Census),Total county population from the 2019 census baseline.,People,Kenya Population and Housing Census 2019 (youth bulge derivation),data/processed/ken_youth_bulge_adm1_2019.csv,2019,2019,Admin 1,Input,Ambiguous
youth_bulge,INC_18,Income & Livelihoods,Share of male population aged 15 to 29,Share of male population aged 15 to 29 as a proxy for youth bulge,Proportion,Kenya Population and Housing Census 2019 (youth bulge derivation),data/processed/ken_youth_bulge_adm1_2019.csv,2019,2019,Admin 1,Output,Ambiguous
